id,type,children,text_content,text_keyword,color
q00,q,a10;a11,What is your gender?,gender,rgb(156,182,215)
a10,a,q20,Female,F,#e377c2
a11,a,q21,Male,M,#17becf
q20,q,a30;a31;a32;a33,What is your major?,major,rgb(156,182,215)
q21,q,a34;a35;a36;a37,Which year are you in college?,year,rgb(156,182,215)
a30,a,i40,Computer science,CS,rgb(156,182,215)
a31,a,i41,Business,,rgb(156,182,215)
a32,a,i40,Social science,,rgb(156,182,215)
a33,a,i41,Others,,rgb(156,182,215)
a34,a,i42;i44,Freshman,,rgb(156,182,215)
a35,a,i42,Sophomore,,rgb(156,182,215)
a36,a,i43,Junior,,rgb(156,182,215)
a37,a,i43,Senior,,rgb(156,182,215)
i40,i,,information 1,,rgb(249,194,111)
i41,i,,information 2,,rgb(249,194,111)
i42,i,,information 3,,rgb(249,194,111)
i43,i,,information 4,,rgb(249,194,111)
i44,i,,,,rgb(249,194,111)
